Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Brett Kulak,D,PIT,572,57.70,,,,,,,,,43,0,4,4,18,45,6,62,,,,,,,1.34,465.p.5795
Spencer Stastney,D,EDM,573,57.50,,,,,,,,,44,1,8,9,10,42,9,39,,,,,,,1.31,465.p.8028
Kaapo Kakko,RW,SEA,574,57.50,,,,,,,,,27,4,10,14,6,42,15,3,,,,,,2.0,2.13,465.p.8280
Phillip Danault,C,MTL,575,57.40,,,,,,,,,39,0,8,8,12,52,30,14,,,,,,3.0,1.47,465.p.5387
Samuel Blais,LW,MTL,576,57.40,,,,,,,,,18,3,5,8,8,16,67,8,,,,,,,3.19,465.p.6544
Jayden Struble,D,MTL,577,57.40,,,,,,,,,35,0,6,6,36,12,62,17,,,,,,,1.64,465.p.30108
Jordan Binnington,G,STL,578,57.20,Ryan is Aho,Mitchell,Kiril’s KaprizHog,Eric,9,113,93.8,1.0,25,,,,,,,,8,586,0.871,87,1,53.0,2.29,465.p.5454
Dylan Samberg,D,WPG,579,57.20,,,,,,,,,27,0,6,6,8,36,23,49,,,,,,1.0,2.12,465.p.7558
Braeden Bowman,RW,VGK,580,57.20,,,,,,,,,27,5,9,14,4,40,5,13,,,,,,1.0,2.12,465.p.9603
Luke Glendening,C,NJ,581,56.90,,,,,,,,,44,0,4,4,2,24,61,36,,,,,,,1.29,465.p.5976
Dennis Hildeby,G,TOR,582,56.80,,,,,,,,,11,,,,,,,,4,394,0.914,37,1,9.0,5.16,465.p.9389
Marc Gatcomb,RW,NYI,583,56.30,,,,,,,,,18,1,1,2,2,24,92,11,,,,,,1.0,3.13,465.p.9594
Josh Norris,C,BUF,584,56.30,Sure Would,Johnathan,Ryan is Aho,Mitchell,14,185,180.1,0.1,17,6,10,16,6,27,5,10,,,,,,27.0,3.31,465.p.7534
Noah Juulsen,D,PHI,585,56.20,,,,,,,,,30,1,5,6,8,19,62,22,,,,,,,1.87,465.p.6768
Nikita Nesterenko,C,ANA,586,55.80,,,,,,,,,28,1,8,9,8,30,51,6,,,,,,,1.99,465.p.30000
Freddy Gaudreau,C,SEA,587,55.75,,,,,,,,,30,4,7,11,7,33,13,24,,,,,,,1.86,465.p.6655
Brandon Saad,LW,VGK,588,55.50,,,,,,,,,39,2,5,7,14,64,9,17,,,,,,,1.42,465.p.5411
Tyson Jost,C,NSH,589,55.00,,,,,,,,,34,3,4,7,16,37,39,9,,,,,,,1.62,465.p.7118
Samuel Girard,D,COL,590,54.65,,,,,,,,,29,3,8,11,13,26,10,30,,,,,,2.0,1.88,465.p.7155
Tom Willander,D,VAN,591,54.40,,,,,,,,,34,2,10,12,8,29,7,30,,,,,,,1.60,465.p.30556
Kevin Lankinen,G,VAN,592,54.20,,,,,,,170.4,0.1,20,,,,,,,,6,541,0.883,72,0,7.0,2.71,465.p.7886
Liam Ohgren,LW,VAN,593,54.20,,,,,,,,,31,3,2,5,0,40,46,17,,,,,,,1.75,465.p.9287
Alex Newhook,"C,LW",MTL,594,54.00,,,,,,,,,17,6,6,12,8,24,26,5,,,,,,2.0,3.18,465.p.8294
Noah Ostlund,C,BUF,595,53.60,,,,,,,,,32,7,5,12,4,34,2,18,,,,,,,1.68,465.p.9284
Ryker Evans,D,SEA,596,53.40,,,,,,,,,29,3,7,10,16,21,16,29,,,,,,,1.84,465.p.8910
Ozzy Wiesblatt,RW,NSH,597,53.30,,,,,,,,,24,1,3,4,30,22,60,10,,,,,,,2.22,465.p.8671
Troy Stecher,D,TOR,598,52.40,,,,,,,,,31,2,7,9,16,25,15,31,,,,,,,1.69,465.p.7093
Tyson Kozak,C,BUF,599,52.10,,,,,,,,,24,2,2,4,2,19,62,23,,,,,,,2.17,465.p.9068
Reid Schaefer,LW,NSH,600,51.95,,,,,,,,,21,4,1,5,11,19,52,17,,,,,,,2.47,465.p.9300
Dominic James,C,TB,601,51.60,,,,,,,,,28,3,5,8,4,27,41,11,,,,,,,1.84,465.p.30877
Devin Cooley,G,CGY,602,51.20,,,,,,,,,11,,,,,,,,5,326,0.918,29,0,3.0,4.65,465.p.8794
Mark Jankowski,C,CAR,603,51.20,,,,,,,,,33,3,4,7,12,33,21,24,,,,,,,1.55,465.p.5701
Jacob Bernard-Docker,D,DET,604,51.10,,,,,,,,,30,0,3,3,6,23,40,46,,,,,,,1.70,465.p.7924
Brayden Pachal,D,CGY,605,51.05,,,,,,,,,23,0,3,3,33,14,58,20,,,,,,,2.22,465.p.8199
Jonatan Berggren,RW,STL,606,50.50,,,,,,,,,26,5,6,11,6,31,19,5,,,,,,,1.94,465.p.7931
Charlie Lindgren,G,WSH,607,50.40,Sure Would,Johnathan,,,,,181.1,0.1,13,,,,,,,,7,347,0.890,43,1,26.0,3.88,465.p.7084
Victor Hedman,D,TB,608,50.30,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,3,30,36.1,1.0,18,0,12,12,6,25,8,29,,,,,,90.0,2.79,465.p.4682
