Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Gabriel Carriere,G,SJ,1174,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33255
Kyle Okposo,RW,BUF,1175,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3988
Ben Steeves,LW,FLA,1176,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33305
Hiroki Gojsic,RW,NSH,1177,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32935
Ilya Protas,LW,WSH,1178,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32933
Kasper Pikkarainen,RW,NJ,1179,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32872
John Mustard,C,CHI,1180,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32896
Alfons Freij,D,WPG,1181,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32876
Aatos Koivu,C,MTL,1182,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32877
Herman Traff,RW,ANA,1183,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32878
Melvin Fernstrom,RW,VAN,1184,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32881
Jack Berglund,C,PHI,1185,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32884
William Zellers,LW,BOS,1186,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32888
Tomas Lavoie,D,UTA,1187,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32889
Julius Miettinen,C,SEA,1188,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32890
Carson Wetsch,RW,SJ,1189,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32892
Brodie Ziemer,RW,BUF,1190,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32894
Colin Ralph,D,STL,1191,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32897
Arttu Hyry,RW,DAL,1192,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32932
Cole Hutson,D,WSH,1193,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32898
Max Plante,LW,DET,1194,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32899
Adam Kleber,D,BUF,1195,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32900
Nathan Villeneuve,C,SEA,1196,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32901
Ethan Procyszyn,C,ANA,1197,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32902
Lukas Fischer,D,STL,1198,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32903
Will Skahan,D,UTA,1199,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32905
Jacob Battaglia,RW,CGY,1200,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32906
Tarin Smith,D,ANA,1201,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32907
Viggo Gustafsson,D,NSH,1202,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32927
Charlie Elick,D,CBJ,1203,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32820
Jordan Dumais,RW,CBJ,1204,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9364
Cam Atkinson,RW,TB,1205,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5282
Nolan Foote,LW,FLA,1206,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8305
Kale Clague,D,WPG,1207,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7159
Givani Smith,RW,CAR,1208,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7154
Rasmus Asplund,C,FLA,1209,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7141
Lassi Thomson,D,OTT,1210,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8297
Ville Heinola,D,WPG,1211,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8298
Tobias Bjornfot,D,FLA,1212,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8300
Julien Gauthier,RW,NYI,1213,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7129
Ryan Suzuki,C,CAR,1214,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8306
William Lockwood,RW,FLA,1215,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7172
Kieffer Bellows,LW,NSH,1216,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7127
Raphael Lavoie,C,VGK,1217,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8316
Logan Brown,C,LA,1218,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7119
Alex Nylander,LW,TOR,1219,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7116
Egor Afanasyev,LW,SJ,1220,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8323
Matthew Tkachuk,"LW,RW",FLA,1221,0.00,DubJ,John,DubJ,John,4,43,82.6,1.0,,,,,,,,,,,,,,91.0,,465.p.7114
Jesse Puljujarvi,RW,PIT,1222,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7112
Samuel Fagemo,LW,WPG,1223,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8328
Dylan Gambrell,C,NSH,1224,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7168
Cam Dineen,D,EDM,1225,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7176
Samuel Bolduc,D,LA,1226,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8335
Max Lajoie,D,SEA,1227,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7239
Michael Pezzetta,LW,TOR,1228,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7265
Axel Jonsson-Fjallby,LW,WPG,1229,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7252
Ryan Schmelzer,C,NJ,1230,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8211
Jimmy Huntington,C,SJ,1231,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8228
Reese Johnson,C,TOR,1232,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8229
Jacob Lucchini,C,NSH,1233,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8230
Joe Snively,C,DET,1234,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8238
Grant Hutton,D,NYI,1235,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8242
Brogan Rafferty,D,DET,1236,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8247
Joey Anderson,RW,CHI,1237,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7181
Mason Jobst,C,BUF,1238,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8248
Jimmy Schuldt,D,VAN,1239,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8250
Lucas Carlsson,D,SJ,1240,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7217
Keaton Middleton,D,COL,1241,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7208
Brett Murray,LW,PIT,1242,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7206
Fredrik Karlstrom,C,NYI,1243,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7197
Garrett Pilon,C,OTT,1244,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7195
Casey Fitzgerald,D,NYR,1245,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7194
Simon Lundmark,D,TB,1246,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8329
Nikita Okhotiuk,D,SJ,1247,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8339
Matthew Phillips,RW,ANA,1248,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7271
Connor Mackey,D,NYR,1249,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8598
Cameron Hughes,C,DAL,1250,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6907
Corey Schueneman,D,STL,1251,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8532
Mason Morelli,LW,VGK,1252,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8535
Brett Seney,LW,CHI,1253,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6899
Brandon Biro,LW,SEA,1254,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8593
Spencer Smallman,RW,WSH,1255,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6880
Colton Poolman,D,BUF,1256,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8597
Joseph Cecconi,D,MIN,1257,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6875
Nikolai Knyzhov,D,VAN,1258,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8494
Ethan Bear,D,NYI,1259,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6866
Glenn Gawdin,C,LA,1260,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6858
Christian Wolanin,D,VAN,1261,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6849
Anthony Richard,C,PHI,1262,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6842
Felix Sandstrom,G,BUF,1263,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6812
Guillaume Brisebois,D,VAN,1264,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6808
Oliver Kylington,D,CAR,1265,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6802
Daniel Sprong,RW,NJ,1266,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6788
Ben McCartney,LW,UTA,1267,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8504
Ivan Fedotov,G,CBJ,1268,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6930
Nikita Alexandrov,C,STL,1269,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8340
Tyce Thompson,RW,NYI,1270,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8374
Zac Jones,D,BUF,1271,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8346
John Ludvig,D,PIT,1272,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8347
Ronnie Attard,D,COL,1273,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8350
Adam Beckman,LW,NYI,1274,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8353
Drake Caggiula,LW,EDM,1275,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7100
Graeme Clarke,RW,WSH,1276,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8358
Mikko Kokkonen,D,TOR,1277,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8362
Andrew Poturalski,C,SJ,1278,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7073
Samuel Laberge,LW,SJ,1279,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7013
Valtteri Puustinen,RW,PIT,1280,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8479
Marc Del Gaizo,D,MTL,1281,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8387
Nicholas Abruzzese,C,TB,1282,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8402
Isaiah Saville,G,LA,1283,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8412
Henrik Rybinski,RW,WSH,1284,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8413
Lane Pederson,C,PHI,1285,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6974
Luke Philp,C,WSH,1286,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6966
Santeri Hatakka,D,NJ,1287,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8461
Maxence Guenette,D,OTT,1288,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8464
Nathan Clurman,D,MTL,1289,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7266
Rafael Harvey-Pinard,LW,PIT,1290,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8152
Mitchell Stephens,C,SEA,1291,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6775
Filip Zadina,RW,SJ,1292,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7904
Cameron Crotty,D,OTT,1293,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7597
Reilly Walsh,D,LA,1294,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7596
Johnathan Kovacevic,D,NJ,1295,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7589
Matt Villalta,G,UTA,1296,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7587
MacKenzie Entwistle,RW,FLA,1297,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7584
Jonas Rondbjerg,RW,VGK,1298,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7580
Michael DiPietro,G,BOS,1299,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7579
Jake Leschyshyn,C,BUF,1300,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7577
Jack Rathbone,D,BUF,1301,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7610
Vitali Kravtsov,RW,VAN,1302,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7907
Ian Mitchell,D,DET,1303,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7572
Oliver Wahlstrom,RW,SJ,1304,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7909
Robin Salo,D,NYI,1305,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7561
Grigori Denisenko,LW,VGK,1306,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7913
Ty Smith,D,CAR,1307,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7915
Liam Foudy,C,NYI,1308,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7916
Rasmus Kupari,C,WPG,1309,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7918
Pavel Francouz,G,COL,1310,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7874
Mason Shaw,C,WPG,1311,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7612
Gustav Lindstrom,D,ANA,1312,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7553
Alexandar Georgiev,G,BUF,1313,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7736
Sebastian Aho,D,PIT,1314,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7654
Cedric Pare,C,TOR,1315,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7688
Dylan Ferguson,G,VAN,1316,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7639
Skyler Brind'Amour,C,CAR,1317,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7692
Carson Meyer,RW,BUF,1318,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7694
Cole Guttman,C,LA,1319,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7695
Sammy Walker,C,UTA,1320,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7714
Philip Kemp,D,PIT,1321,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7722
Collin Delia,G,EDM,1322,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7737
Cameron Hebig,C,UTA,1323,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7849
Alex Barre-Boulet,C,COL,1324,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7746
Emil Bemstrom,RW,PIT,1325,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7632
Dominik Shine,RW,DET,1326,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7759
Jacob MacDonald,D,COL,1327,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7773
Sheldon Dries,C,DET,1328,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7816
Alex Belzile,RW,MTL,1329,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7824
Noel Hoefenmayer,D,EDM,1330,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7623
Eetu Makiniemi,G,PHI,1331,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7619
Jaret Anderson-Dolan,C,WPG,1332,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7556
Kole Lind,RW,DAL,1333,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7548
Logan O'Connor,RW,COL,1334,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8119
Jeremy Davies,D,VGK,1335,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7297
Nathan Smith,C,VAN,1336,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7989
Jonathan Gruden,C,NJ,1337,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7993
Luke Henman,C,SEA,1338,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7994
Martin Pospisil,"C,RW",CGY,1339,0.00,,,,,,,182.5,0.1,,,,,,,,,,,,,,2.0,,465.p.8002
Ben Gleason,D,MIN,1340,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7435
Ivan Prosvetov,G,CGY,1341,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8011
Mac Hollowell,D,PIT,1342,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8015
Zach Sawchenko,G,CBJ,1343,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7338
Filip Kral,D,PIT,1344,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8046
Matthew Highmore,C,NYI,1345,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7469
Magnus Chrona,G,NSH,1346,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8049
Travis Barron,LW,UTA,1347,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7296
Kevin Mandolese,G,MTL,1348,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8054
Nicolas Mattinen,D,TOR,1349,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7284
Tanner Laczynski,C,VGK,1350,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7274
Josiah Slavin,LW,CAR,1351,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8091
Filip Larsson,G,PIT,1352,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7272
Sam Hentges,C,MIN,1353,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.8107
Tye Felhaber,LW,COL,1354,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7449
Jakub Lauko,C,BOS,1355,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7975
Klim Kostin,C,SJ,1356,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7546
Jan Rutta,D,SJ,1357,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7514
Alexander Alexeyev,D,PIT,1358,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7929
Shane Bowers,C,SJ,1359,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7543
Jesse Ylonen,RW,TB,1360,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7933
Jett Woo,D,VAN,1361,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7935
Scott Perunovich,D,UTA,1362,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7943
Juuso Valimaki,D,UTA,1363,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7531
Erik Brannstrom,D,COL,1364,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7530
Akil Thomas,C,LA,1365,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7949
Calen Addison,D,NJ,1366,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7951
Gavin Bayreuther,D,CAR,1367,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7474
Bo Groulx,C,TOR,1368,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7952
Calle Rosen,D,WSH,1369,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7506
David Gustafsson,C,WPG,1370,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7958
Olivier Rodrigue,G,EDM,1371,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7960
Jan Jenik,C,OTT,1372,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7963
Tyler Madden,RW,LA,1373,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7966
Jakub Skarek,G,SJ,1374,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7970
Vinni Lettieri,C,TOR,1375,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7481
Travis Dermott,D,EDM,1376,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6776
Christian Fischer,RW,CBJ,1377,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6774
Craig Smith,C,DET,1378,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5396
Graham Sward,D,WPG,1379,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9413
Marek Alscher,D,FLA,1380,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9361
Arvid Holm,G,COL,1381,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.7682
Isaiah George,D,NYI,1382,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9366
Tyler Brennan,G,NJ,1383,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9370
Angus Booth,D,LA,1384,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9383
Connor Carrick,D,EDM,1385,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5827
Frederic Brunet,D,BOS,1386,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9399
David Spacek,D,MIN,1387,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9420
Tomas Hamara,D,OTT,1388,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9355
Sandis Vilmanis,LW,FLA,1389,0.00,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,0.00,465.p.9424
Maksymilian Szuber,D,UTA,1390,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9430
Josh Davies,LW,FLA,1391,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9453
Domenic DiVincentiis,G,WPG,1392,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9474
Kirill Kudryavtsev,D,VAN,1393,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9475
Owen Sillinger,LW,CBJ,1394,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9495
Matt Murray,G,NSH,1395,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9516
Joseph Abate,LW,BOS,1396,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9549
Michael Milne,LW,MIN,1397,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9357
Adam Sykora,LW,NYR,1398,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9331
Kyle McDonald,RW,DAL,1399,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9564
Robert Hagg,D,VGK,1400,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6021
Clay Stevenson,G,WSH,1401,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9234
Lucas Condotta,LW,MTL,1402,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9239
Zach Sanford,LW,CHI,1403,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6041
Georgii Merkulov,C,BOS,1404,0.00,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,0.00,465.p.9244
Wyatt Aamodt,D,COL,1405,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9245
Justin Bailey,RW,ANA,1406,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6032
Wyatt Bongiovanni,LW,OTT,1407,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9247
Gustav Olofsson,D,SEA,1408,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.6026
Aleksander Barkov,C,FLA,1409,0.00,,,Cooley as a Cucumber,Ryan,5,66,80.6,0.2,,,,,,,,,,,,,,23.0,,465.p.5981
Matthew Poitras,C,BOS,1410,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9322
Chad Ruhwedel,D,NYR,1411,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5950
Troy Grosenick,G,MIN,1412,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5944
Matt Tomkins,G,EDM,1413,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5888
Joakim Ryan,D,CAR,1414,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5887
Nathan Gaucher,C,ANA,1415,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9290
Jagger Firkus,RW,SEA,1416,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9303
Christian Kyrou,D,DAL,1417,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9318
Tristan Luneau,D,ANA,1418,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9321
Christoffer Sedoff,D,VGK,1419,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9555
Marshall Rifai,D,TOR,1420,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.9571
Ilya Samsonov,G,VGK,1421,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.6764
Rasmus Kumpulainen,C,MIN,1422,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30362
Derrick Pouliot,D,NYR,1423,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5688
David Edstrom,C,NSH,1424,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30207
Paul Fischer,D,EDM,1425,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30211
Travis Boyd,C,TOR,1426,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5542
Yaniv Perets,G,PHI,1427,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30247
Mike Benning,D,FLA,1428,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30251
Max McCormick,LW,SEA,1429,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5536
Laurent Brossoit,G,CHI,1430,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.5529
Joey Willis,C,NSH,1431,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30370
Ryan Ufko,D,NSH,1432,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30172
Mazden Leslie,D,VGK,1433,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30388
Felix Unger Sorum,RW,CAR,1434,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30406
Erik Portillo,G,LA,1435,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30487
Hardy Haman Aktell,D,WSH,1436,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30496
