Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Michael Houser,G,BUF,17.4,,,,,,,,,,,,,,,,,,,,,,4.0
Urho Vaakanainen,D,NYR,17.3,,,,,,,,,,,,,,,,,,,,,,
Andy Welinski,D,FLA,16.8,,,,,,,,,,,,,,,,,,,,,,
Jayson Megna,"C,RW",COL,16.6,,,,,,,,,,,,,,,,,,,,,,
Anton Blidh,"LW,RW",NYR,16.1,,,,,,,,,,,,,,,,,,,,,,
Mattias Samuelsson,D,BUF,16.0,,,,,,,,,,,,,,,,,,,,,,
Jansen Harkins,LW,ANA,16.0,,,,,,,,,,,,,,,,,,,,,,
Ukko-Pekka Luukkonen,G,BUF,16.0,,,,,,,,,,,,,,,,,,,,,,3.0
Kevin Bahl,D,CGY,15.6,,,,,,,,,,,,,,,,,,,,,,
Steven Fogarty,"C,RW",MIN,15.6,,,,,,,,,,,,,,,,,,,,,,
Nathan Gerbe,"LW,RW",CBJ,15.6,,,,,,,,,,,,,,,,,,,,,,
Dan Vladar,G,PHI,15.4,,,,,,,,,,,,,,,,,,,,,,2.0
Carl Gunnarsson,D,STL,15.4,,,,,,,,,,,,,,,,,,,,,,
Gavin Bayreuther,D,CAR,15.3,,,,,,,,,,,,,,,,,,,,,,
Alex Lyon,G,BUF,15.2,,,,,,,,,,,,,,,,,,,,,,1.0
Dakota Joshua,C,TOR,15.1,,,,,,,,,,,,,,,,,,,,,,
Joel L'Esperance,"C,RW",DAL,14.6,,,,,,,,,,,,,,,,,,,,,,
Jordan Gross,D,NSH,14.1,,,,,,,,,,,,,,,,,,,,,,
Patrick Russell,RW,EDM,14.0,,,,,,,,,,,,,,,,,,,,,,
Matt Luff,RW,STL,13.8,,,,,,,,,,,,,,,,,,,,,,
Marian Studenic,RW,SEA,13.6,,,,,,,,,,,,,,,,,,,,,,
Rem Pitlick,C,EDM,13.5,,,,,,,,,,,,,,,,,,,,,,
Christian Wolanin,D,VAN,13.4,,,,,,,,,,,,,,,,,,,,,,
Alex Newhook,C,MTL,13.3,,,,,,,,,,,,,,,,,,,,,,1.0
Connor Mackey,D,NYR,13.3,,,,,,,,,,,,,,,,,,,,,,
Jonas Siegenthaler,D,NJ,13.1,,,,,,,,,,,,,,,,,,,,,,
Craig Anderson,G,BUF,13.0,,,,,,,,,,,,,,,,,,,,,,2.0
Nathan Walker,LW,STL,13.0,,,,,,,,,,,,,,,,,,,,,,
Ryan MacInnis,RW,BUF,12.9,,,,,,,,,,,,,,,,,,,,,,
Tyler Seguin,"C,RW",DAL,12.8,Miller Time,Ross,Miller Time,Ross,23,183,165.7,0.3,,,,,,,,,,,,,,65.0
MacKenzie Entwistle,RW,FLA,12.7,,,,,,,,,,,,,,,,,,,,,,
Kole Sherwood,RW,NSH,12.6,,,,,,,,,,,,,,,,,,,,,,
Thomas Hickey,D,NYI,12.5,,,,,,,,,,,,,,,,,,,,,,
Joel Kellman,C,SJ,12.5,,,,,,,,,,,,,,,,,,,,,,
Calvin Pickard,G,EDM,12.2,,,,,,,,,,,,,,,,,,,,,,
Kevin Connauton,D,UTA,12.0,,,,,,,,,,,,,,,,,,,,,,
Aleksi Heponiemi,C,FLA,11.9,,,,,,,,,,,,,,,,,,,,,,
Maxime Lagace,G,TB,11.8,,,,,,,,,,,,,,,,,,,,,,5.0
Steven Santini,D,TB,11.7,,,,,,,,,,,,,,,,,,,,,,
John Moore,D,BOS,11.7,,,,,,,,,,,,,,,,,,,,,,
Xavier Ouellet,D,PIT,11.5,,,,,,,,,,,,,,,,,,,,,,
Simon Benoit,D,TOR,11.3,,,,,,,,,,,,,,,,,,,,,,
Troy Grosenick,G,MIN,11.2,,,,,,,,,,,,,,,,,,,,,,1.0
Victor Soderstrom,D,BOS,11.0,,,,,,,,,,,,,,,,,,,,,,
Andreas Borgman,D,TB,11.0,,,,,,,,,,,,,,,,,,,,,,
Dylan Sikura,"LW,RW",COL,10.8,,,,,,,,,,,,,,,,,,,,,,
